0,0,0|140.556,199.139,100
35.139,24.8924,18.75|39.5314,31.1155,21.875
35.139,31.1155,18.75|39.5314,37.3386,21.875
43.9237,24.8924,18.75|52.7085,37.3386,25
43.9237,24.8924,18.75|48.3161,31.1155,21.875
43.9237,31.1155,18.75|48.3161,37.3386,21.875
35.139,37.3386,18.75|43.9237,49.7848,25
35.139,37.3386,18.75|39.5314,43.5617,21.875
35.139,43.5617,18.75|39.5314,49.7848,21.875
43.9237,37.3386,18.75|52.7085,49.7848,25
43.9237,37.3386,18.75|48.3161,43.5617,21.875
43.9237,43.5617,18.75|48.3161,49.7848,21.875
52.7085,24.8924,12.5|70.278,49.7848,25
52.7085,24.8924,12.5|61.4932,37.3386,18.75
52.7085,24.8924,12.5|57.1008,31.1155,15.625
52.7085,31.1155,12.5|57.1008,37.3386,15.625
61.4932,24.8924,12.5|70.278,37.3386,18.75
61.4932,24.8924,12.5|65.8856,31.1155,15.625
61.4932,31.1155,12.5|65.8856,37.3386,15.625
52.7085,37.3386,12.5|61.4932,49.7848,18.75
52.7085,37.3386,12.5|57.1008,43.5617,15.625
52.7085,43.5617,12.5|57.1008,49.7848,15.625
61.4932,37.3386,12.5|70.278,49.7848,18.75
61.4932,37.3386,12.5|65.8856,43.5617,15.625
61.4932,43.5617,12.5|65.8856,49.7848,15.625
52.7085,24.8924,18.75|61.4932,37.3386,25
52.7085,24.8924,18.75|57.1008,31.1155,21.875
52.7085,31.1155,18.75|57.1008,37.3386,21.875
61.4932,24.8924,18.75|70.278,37.3386,25
61.4932,24.8924,18.75|65.8856,31.1155,21.875
61.4932,31.1155,18.75|65.8856,37.3386,21.875
52.7085,37.3386,18.75|61.4932,49.7848,25
52.7085,37.3386,18.75|57.1008,43.5617,21.875
52.7085,43.5617,18.75|57.1008,49.7848,21.875
61.4932,37.3386,18.75|70.278,49.7848,25
61.4932,37.3386,18.75|65.8856,43.5617,21.875
61.4932,43.5617,18.75|65.8856,49.7848,21.875
0,49.7848,0|35.139,99.5697,25
0,49.7848,0|17.5695,74.6773,12.5
0,49.7848,0|8.78475,62.2311,6.25
0,49.7848,0|4.39237,56.008,3.125
0,56.008,0|4.39237,62.2311,3.125
8.78475,49.7848,0|17.5695,62.2311,6.25
8.78475,49.7848,0|13.1771,56.008,3.125
8.78475,56.008,0|13.1771,62.2311,3.125
0,62.2311,0|8.78475,74.6773,6.25
0,62.2311,0|4.39237,68.4542,3.125
0,68.4542,0|4.39237,74.6773,3.125
8.78475,62.2311,0|17.5695,74.6773,6.25
8.78475,62.2311,0|13.1771,68.4542,3.125
8.78475,68.4542,0|13.1771,74.6773,3.125
0,49.7848,6.25|8.78475,62.2311,12.5
0,49.7848,6.25|4.39237,56.008,9.375
0,56.008,6.25|4.39237,62.2311,9.375
8.78475,49.7848,6.25|17.5695,62.2311,12.5
8.78475,49.7848,6.25|13.1771,56.008,9.375
8.78475,56.008,6.25|13.1771,62.2311,9.375
0,62.2311,6.25|8.78475,74.6773,12.5
0,62.2311,6.25|4.39237,68.4542,9.375
0,68.4542,6.25|4.39237,74.6773,9.375
8.78475,62.2311,6.25|17.5695,74.6773,12.5
8.78475,62.2311,6.25|13.1771,68.4542,9.375
8.78475,68.4542,6.25|13.1771,74.6773,9.375
17.5695,49.7848,0|35.139,74.6773,12.5
17.5695,49.7848,0|26.3542,62.2311,6.25
17.5695,49.7848,0|21.9619,56.008,3.125
17.5695,56.008,0|21.9619,62.2311,3.125
26.3542,49.7848,0|35.139,62.2311,6.25
26.3542,49.7848,0|30.7466,56.008,3.125
26.3542,56.008,0|30.7466,62.2311,3.125
17.5695,62.2311,0|26.3542,74.6773,6.25
17.5695,62.2311,0|21.9619,68.4542,3.125
17.5695,68.4542,0|21.9619,74.6773,3.125
26.3542,62.2311,0|35.139,74.6773,6.25
26.3542,62.2311,0|30.7466,68.4542,3.125
26.3542,68.4542,0|30.7466,74.6773,3.125
17.5695,49.7848,6.25|26.3542,62.2311,12.5
17.5695,49.7848,6.25|21.9619,56.008,9.375
17.5695,56.008,6.25|21.9619,62.2311,9.375
26.3542,49.7848,6.25|35.139,62.2311,12.5
26.3542,49.7848,6.25|30.7466,56.008,9.375
26.3542,56.008,6.25|30.7466,62.2311,9.375
17.5695,62.2311,6.25|26.3542,74.6773,12.5
17.5695,62.2311,6.25|21.9619,68.4542,9.375
17.5695,68.4542,6.25|21.9619,74.6773,9.375
26.3542,62.2311,6.25|35.139,74.6773,12.5
26.3542,62.2311,6.25|30.7466,68.4542,9.375
26.3542,68.4542,6.25|30.7466,74.6773,9.375
0,74.6773,0|17.5695,99.5697,12.5
0,74.6773,0|8.78475,87.1235,6.25
0,74.6773,0|4.39237,80.9004,3.125
0,80.9004,0|4.39237,87.1235,3.125
8.78475,74.6773,0|17.5695,87.1235,6.25
8.78475,74.6773,0|13.1771,80.9004,3.125
8.78475,80.9004,0|13.1771,87.1235,3.125
0,87.1235,0|8.78475,99.5697,6.25
0,87.1235,0|4.39237,93.3466,3.125
0,93.3466,0|4.39237,99.5697,3.125
8.78475,87.1235,0|17.5695,99.5697,6.25
8.78475,87.1235,0|13.1771,93.3466,3.125
8.78475,93.3466,0|13.1771,99.5697,3.125
0,74.6773,6.25|8.78475,87.1235,12.5
0,74.6773,6.25|4.39237,80.9004,9.375
0,80.9004,6.25|4.39237,87.1235,9.375
8.78475,74.6773,6.25|17.5695,87.1235,12.5
8.78475,74.6773,6.25|13.1771,80.9004,9.375
8.78475,80.9004,6.25|13.1771,87.1235,9.375
0,87.1235,6.25|8.78475,99.5697,12.5
0,87.1235,6.25|4.39237,93.3466,9.375
0,93.3466,6.25|4.39237,99.5697,9.375
8.78475,87.1235,6.25|17.5695,99.5697,12.5
8.78475,87.1235,6.25|13.1771,93.3466,9.375
8.78475,93.3466,6.25|13.1771,99.5697,9.375
17.5695,74.6773,0|35.139,99.5697,12.5
17.5695,74.6773,0|26.3542,87.1235,6.25
17.5695,74.6773,0|21.9619,80.9004,3.125
17.5695,80.9004,0|21.9619,87.1235,3.125
26.3542,74.6773,0|35.139,87.1235,6.25
26.3542,74.6773,0|30.7466,80.9004,3.125
26.3542,80.9004,0|30.7466,87.1235,3.125
17.5695,87.1235,0|26.3542,99.5697,6.25
17.5695,87.1235,0|21.9619,93.3466,3.125
17.5695,93.3466,0|21.9619,99.5697,3.125
26.3542,87.1235,0|35.139,99.5697,6.25
